Disk no.: 1 - 1997 ,Disk no.: 1 - 1997 ,"Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekoei","Subject:  The Language 
Rosedale, Upington, A. Kassie, G. Seekoei",Date recorded: 13 Nov 1997 
Translations coordinator: Louie Ettling ,Translations coordinator: Louie Ettling ,Task: English translation of Afrikaans transcription ,Task: English translation of Afrikaans transcription ,Date returned: 10 Dec 2008 
Translator:LeviNamaseb ,Translator:LeviNamaseb ,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations ,Task:Khoekhoegowab (Nama) and N|uu transcriptions with English translations ,Date returned: not specified 
Editing coordinator:Kerry Jones (African Tongue) ,Editing coordinator:Kerry Jones (African Tongue) ,"Task:Editing, proofing and combination of all languages transcribed and translated into one text file ","Task:Editing, proofing and combination of all languages transcribed and translated into one text file ",Date edited:June 2015 
Translator: Francoise Steyn (Betta) ,Translator: Francoise Steyn (Betta) ,Task: Editing of Afrikaans transcriptions and corresponding English translations ,Task: Editing of Afrikaans transcriptions and corresponding English translations ,Date edited:June 2015 
Translator: Bonny Sands and Alena Witzlack ,Translator: Bonny Sands and Alena Witzlack ,Task: Editing of N|uu transcriptions and corresponding English translations ,Task: Editing of N|uu transcriptions and corresponding English translations ,Date edited:October 2015 
Translator: Niklass Fredericks ,Translator: Niklass Fredericks ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations ,Task: Editing of Khoekhoegowab (Nama) transcriptions and corresponding English translations ,Date edited: September 2015 
TIME/CODE ,ENGLISH TRANSLATION ,ENGLISH TRANSLATION ,AFRIKAANS/KHOEKHOEGOWAB/N|UU TRANSCRIPTION ,COMMENTS 
"Note: Colour coding for transcriptions: green text is N|uu, blue is Afrikaans, red is Khoekhoegowab (Nama) and black is English."
 00:07:04   00:07:11  00:07:11   00:07:16  00:07:20 ,Bab Bab: […] broom bush.  Antjie Antjie:What kind of hair is that?  Bab Bab: What?  Antjie Antjie:What kind of hair is that?  Bab Bab: Ostrich. It looks as they are ostrich skins. It is true. Do look! It is ostrich. ,"Bab Bab  $[…] die kop > |si.  Ke gao |huuke ke?  >qaru Antjie Antjie: >Ma?  Antjie Antjie: > Ke gao |huuke ke?  Bab
 >CcdjC >ue. ue ûu. Kx’am ke. Kx’uu n|aa n|aa! ue.  $Lyk vir my is die se","N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. ‘|Hirosi’ /|qarusi/ was translated by Ouma Geelmeid as ‘duinbos’ in Afrikaans. ‘Duinbos is another name for ‘besembossie’ or ‘broom bush’, Crotalaria 
Spartioides. N|uu 
Levi transcribed and translated. Bonny 
updated. Alena 
updated. "
00:07:29 ,Tony OS (Tony): What is it Mama? ,Tony $Wat is dit Mama? ,
00:07:31 ,Bab Bab: Ostrich. Looks to me like ostrich feathers. ,"Bab $Volstruis. Lyk vir my dis volstruis, vere daai. ",
00:07:34 ,"Tony OS (Tony): And what’s the word for it in your 
language? ",Tony $En hoenoem julle dit in die taal? ,
00:07:35 ,Antjie and Bab Antjie and Bab: Ostrich. ,Antjie en Bab Antjie en Bab: >C >ue. ,N|uu 
 00:07:36  00:07:37   00:07:37  00:07:39 ,"Antjie Antjie: Ostrich.  Bab Bab: Ostrich.  Antjie Antjie: Ostrich, they are ostrich feathers.  Bab Bab: Yes. ","Antjie Antjie: >C >ue.  Bab Bab: >C >ue.  Antjie Antjie:Bab: >Cc >ue, ue |huuke ke.  $Ja. ","Kerry transcribed and translated. 
Bonny updated. "
00:07:40 ,Tony OS (Tony): And what do you call the feathers? ,Tony $En hoe noem julle die vere? ,
00:07:42 ,"Antjie and Bab Antjie and Bab:Feathers, Feathers. ","Antjie en Bab Antjie en Bab: > |Huuke, |huuke. ","N|uu 
Levi transcribed and translated "
00:07:43 ,Bab Bab: Feathers. ,Bab >|Huuke. ,"N|uu 
Kerry transcribed and translated "
00:07:43 ,Tony OS (Tony): Feathers. ,Tony >|Huuke. ,"N|uu 
Kerry transcribed and translated "
00:07:44 ,"Bab Bab: Yes, yes. ","Bab $Ja, ja . ",
00:07:45 ,Tony OS (Tony): Now do you say ostrich feathers? ,Tony $Sê julle nouse >c >ue |huuke ? ,"N|uu 
Levi transcribed and translated. Bonny 
updated. "
 00:07:47  00:07:48 ,"Bab Bab: Yes, and the hair is also called  >“|huuke”.  Antjie Antjie: His hair. ","Bab Antjie $Ja, en die hare is ook en daai.  >|huuke >Ku a |huuke. ","N|uu 
Levi transcribed and translated N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. "
00:07:50 ,Bab Bab: And that skin they ,Bab $En daai vel van hom ,
,"used for the hair, they must have that skin. ","$wat hulle die hare van gemaak het, hulle moet die vel by had.  
",
00:08:01 ,Tony OS (Tony): I see. ,Tony $Ek sien. ,
00:08:01 ,Bab Bab: Now this is theskin and the feathers. ,Bab $Nou dis dieen die  >dj >ûu |huuke. ,"N|uu 
Levi transcribed and translated. Bonny 
updated. "
 00:08:03  00:08:05 ,"Hendrik OS (Hendrik): Now what do you call the skin?  Antjie Antjie: Yes, the hair. ","Hendrik Antjie $Nou wat noem julle die vel?  $Ja, >|huuke ","N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. "
00:08:08 ,Bab Bab: No it’s that very small loincloth with the beads. ,"Bab $Nee, dis daai met die >!gae|habuka . ","N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. !ae=small loincloth usualy worn by 
children that just 
overs your private parts. Bonny: I hear !gae, not !ae. "
00:08:08 ,Hendrik OS (Hendrik): The animal skin. ,Hendrik $Die >dj >ûu. ,"N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. "
00:08:08 ,"Antjie Antjie: Yes, in the hair.Yes the skin and the feathers. ","Antjie $Ja, in die Ja, die vel en die vere.  >|huuke . ","N|uu transcribed and translated by Ouma Geelmeid, Griet, 
Ouma Anna Koper, Claudia and Kerry. "
00:08:08 ,Hendrik OS (Hendrik):It’s the skin ,Hendrik $Dis die vel en ,
,and the feathers ,$die vere. ,
00:08:11 ,Tony OS (Tony): And tell me what about those shoes they are wearing? What about those shoes? ,"Tony $En sê vir my wat van die skoene wat hulle dra. Wat van daardie skoene?  

",
 00:08:14   00:08:18   00:08:20   00:08:32   00:08:34   00:08:36  00:08:36  00:08:40 ,"Antjie Antjie: Look at the shoes […] Like Jesus’ shoes.  Bab Bab: Mmm, what do the shoes look like?  Antjie Antjie: They are not sandals that they take and put in? Bab: No, young one.  Antjie Antjie: (They) take the skin.  Is it not the skin?  Bab Bab: Is it not the skin?  Antjie Antjie: What thing is it?  Bab Bab: Let me look at it again. ","Antjie Antjie:
Bab: >N|aa ka !uu na [...]  [...]  >Tsu||oa ka !uu. Mmm ka !uuke ku.  Antjie Antjie: > !An ke ||ae |i |e ke ||’ng ke i?  >i'e Bab Bab: Nee, jong >.  Antjie Antjie: >|Ii |'eedjDj >ûu. ûu ke  ||ae?  Bab Bab: >Dj >ûu ke ||ae?  Antjie Antjie: > Disi gao xe?  >j Bab Bab: > ||Hawa ng ǂaqe ki. ","Levi transcribed and translated. Bonny 
updated. "
00:08:40 ,Hendrik OS (Hendrik): [inaudible]. ,Hendrik OS (Hendrik): [inaudible]. ,
00:08:41 ,Antjie Antjie:Stand up and go away! ,Antjie Antjie: > Khu ||’â! ||’Â ki! ,"N|uu 
Levi transcribed and translated "
00:08:48 ,"Bab Bab: Look carefully, here. ","Bab $Jong kyk mooi, kyk mooi hier. ",
00:08:51 ,Bab Bab: Look carefully. ,Bab $Kyk mooi. ,
00:08:52 ,"Tony OS (Tony): Are those 
genuine Bushman shoes? ",Tony $Is daai ordentlike Boesman skoene? ,
00:08:56 ,Tony OS (Tony): It is beautiful raw hide-shoes ,Tony $Is mooi velskoene. ,
00:08:58 ,Tony OS (Tony): Those are just pieces of skin. ,Tony $Is net velletjies daai. ,
00:09:00 ,Bab Bab: And they run nicely. ,Bab $En hulle hardloop lekker. ,
00:09:01 ,Hendrik Hendrik: When he kills the Gemsbok he simply keeps  that skin… ,"Hendrik $Kyk as hy mos nou die Gemsbok gegooi het, dan vat hy sommer daai vel…  

",
00:09:08  00:09:08 ,"Bab Bab: Yes.  Hendrik Hendrik: . . . that skin, and then he makes shoes with it, he’s not worried about tanning the skin. ","Bab Hendrik $Ja.  $…daai vel, en dan maak hy vir hom daarmee skoene, hy’s nie geworried oor brei nie. ",
00:09:16 ,Bab Bab: They stab the gemsbok.,Bab Bab: $Hulle mos die  >||qan !ae. ,"N|uu 
Levi transcribed and translated "
00:09:22 ,Bab Bab: It’s a gemsbok. ,Bab $Dis ʼn gemsbok ,
00:09:22 ,"Tony OS (Tony): What do you call these shoes in the 
Bushman language? ",Tony $Hoe noem julle die skoene in die Boesman taal. ,
00:09:25 ,"Antjie and Bab Antjie and Bab: Shoes, shoes. ",Antjie en Bab Antjie en Bab: > Ka !uu. Ka !uu. ,"N|uu 
Levi transcribed and translated "
00:09:26 ,Tony OS (Tony): Say it again please. ,Tony $Sê dit weer asseblief. ,
00:09:27 ,Bab Bab: Shoes. ,Bab >Ka !uu. ,N|uu 
 00:09:28  00:09:29 ,Tony OS (Tony): Shoes. Bab: Yes ,Tony Bab >Ka !uu  $Ja ,Kerry transcribed and translated 
00:09:29 ,"Tony OS (Tony): That’s for one shoe, what do they say for many? ","Tony $En as hulle, dis een skoen, en as hulle baie …? ",
00:09:33  00:09:34 ,Antjie Antjie: They are shoes. OS (Tony): Shoes. ,Antjie Antjie:OS (Tony): > Ke ka !uke.  Ka !uuke  >u,"N|uu 
Kerry transcribed and translated "
00:09:36 ,Bab Bab: They have their shoes put on. ,Bab Bab: > A na hn ka !u n a ǂasn.  >ukai,"N|uu 
Levi transcribed and translated "
00:09:39 ,Tony OS (Tony): What do you say? ,Tony $Wat sê jy? ,
00:09:40 ,Bab Bab: Hand me my shoes so I can put them on. ,Bab $Gee my skoene dat ek aantrek. ,
00:09:43 ,Tony OS (Tony): I see. ,Tony $Ek sien. ,
00:09:46 ,Antjie Antjie: Steenbok’s horn.,Antjie Antjie: >ǂUn ||qhoesi. ,"N|uu 
Levi transcribed and translated "
00:09:47 ,Hendrik OS (Hendrik): This is a duiker’s horn. ,Hendrik $Hiedie is die duiker se horing. ,
00:09:48 ,"Antjie Antjie: No, steenbok’s horn man. ","Antjie >: An’n, ǂun ||qhoesi .  $man","N|uu 
Kerry transcribed and translated "
00:09:49 ,"Bab Bab: No it’s a steenbok, the tip of the horn ","Bab $An’ndis ʼn steenbok se voorpunt  >,",
00:09:56 ,Bab Bab: It doesn’t look like a duiker’s horn ,Bab $Hy lyk nie soos ʼn duiker se horing nie. ,
00:09:58 ,Hendrik OS (Hendrik): You hold it ,Hendrik $Jy hou hom ,
,like this. ,$net so. ,
00:10:08 ,"Antjie Antjie: It’s not the tip of a duiker’s horn, it’s a 
steenbok’s. ","Antjie $Dis nie ʼn duiker se voorpunt nie, dis ʼn steenbok s’n.  
",
00:10:16 ,END ,,
